Schluessel,Straftat,Gemeindeschluessel,Stadt,Fallstatus,Oper insgesamt,Opfer maennlich,Opfer weiblich,Opfer - Kinder bis unter 6 Jahre - insgesamt,Opfer - Kinder bis unter 6 Jahre - maennlich,Opfer - Kinder bis unter 6 Jahre - weiblich,Opfer Kinder 6 bis unter 14 Jahre - insgesamt,Opfer Kinder 6 bis unter 14 Jahre - maennlich,Opfer Kinder 6 bis unter 14 Jahre - weiblich,Opfer Kinder bis 14 Jahre- insgesamt,Opfer Kinder bis 14 Jahre- maennlich,Opfer Kinder bis 14 Jahre- weiblich,Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt,Opfer Jugendliche 14 bis unter 18 Jahre - maennlich,Opfer Jugendliche 14 bis unter 18 Jahre - weiblich,Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt,Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich,Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich,Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt,Opfer Erwachsene 21 bis unter 60 Jahre - maennlich,Opfer Erwachsene 21 bis unter 60 Jahre - weiblich,Opfer - Erwachsene 60 Jahre und aelter - insgesamt,Opfer - Erwachsene 60 Jahre und aelter - maennlich,Opfer - Erwachsene 60 Jahre und aelter - weiblich,Opfer Erwachsene - insgesamt,Opfer Erwachsene - maennlich,Opfer Erwachsene - weiblich,Jahr
------,Straftaten insgesamt,5334002,Aachen,voll.,4334,2672,1662,17,13,4,165,89,76,182,102,80,289,172,117,391,240,151,3198,1992,1206,274,166,108,3472,2158,1314,2016
------,Straftaten insgesamt,9761000,Augsburg,voll.,4601,2922,1679,29,11,18,200,112,88,229,123,106,320,194,126,454,288,166,3389,2196,1193,209,121,88,3598,2317,1281,2016
------,Straftaten insgesamt,5378004,Bergisch Gladbach,voll.,1228,670,558,7,1,6,53,28,25,60,29,31,99,58,41,86,49,37,875,476,399,108,58,50,983,534,449,2016
------,Straftaten insgesamt,11000000,Berlin,voll.,71286,43825,27461,794,419,375,4181,2571,1610,4975,2990,1985,4910,2905,2005,4489,2655,1834,52739,32944,19795,4173,2331,1842,56912,35275,21637,2016
------,Straftaten insgesamt,5711000,Bielefeld,voll.,4245,2412,1833,29,16,13,148,88,60,177,104,73,315,174,141,396,226,170,3143,1789,1354,214,119,95,3357,1908,1449,2016
------,Straftaten insgesamt,5911000,Bochum,voll.,6354,3722,2632,37,23,14,268,164,104,305,187,118,514,291,223,595,349,246,4586,2694,1892,354,201,153,4940,2895,2045,2016
------,Straftaten insgesamt,5314000,Bonn,voll.,5303,3113,2190,28,13,15,248,178,70,276,191,85,385,191,194,466,285,181,3875,2282,1593,301,164,137,4176,2446,1730,2016
------,Straftaten insgesamt,5512000,Bottrop,voll.,1352,732,620,11,7,4,73,32,41,84,39,45,149,83,66,135,84,51,889,474,415,95,52,43,984,526,458,2016
------,Straftaten insgesamt,3101000,Braunschweig,voll.,4170,2638,1532,46,16,30,172,91,81,218,107,111,310,163,147,412,275,137,3057,1988,1069,173,105,68,3230,2093,1137,2016
------,Straftaten insgesamt,4011000,Bremen,voll.,10663,6580,4083,72,41,31,364,211,153,436,252,184,863,584,279,1047,629,418,7748,4793,2955,569,322,247,8317,5115,3202,2016
------,Straftaten insgesamt,4012000,Bremerhaven,voll.,2361,1387,974,20,12,8,122,64,58,142,76,66,202,101,101,183,106,77,1706,1023,683,128,81,47,1834,1104,730,2016
------,Straftaten insgesamt,14511000,Chemnitz,voll.,2878,1764,1114,47,34,13,186,85,101,233,119,114,274,170,104,257,148,109,1957,1256,701,157,71,86,2114,1327,787,2016
------,Straftaten insgesamt,6411000,Darmstadt,voll.,1511,909,602,22,13,9,62,30,32,84,43,41,129,71,58,133,69,64,1086,675,411,79,51,28,1165,726,439,2016
------,Straftaten insgesamt,5913000,Dortmund,voll.,11545,7084,4461,69,39,30,493,303,190,562,342,220,842,484,358,1001,594,407,8607,5357,3250,533,307,226,9140,5664,3476,2016
------,Straftaten insgesamt,14612000,Dresden,voll.,6240,4095,2145,82,37,45,347,171,176,429,208,221,366,208,158,508,336,172,4598,3145,1453,339,198,141,4937,3343,1594,2016
------,Straftaten insgesamt,5112000,Duisburg,voll.,8156,4461,3695,58,31,27,495,306,189,553,337,216,666,369,297,622,333,289,5869,3190,2679,446,232,214,6315,3422,2893,2016
------,Straftaten insgesamt,5111000,Duesseldorf,voll.,9578,6023,3555,32,16,16,382,206,176,414,222,192,611,328,283,838,524,314,7188,4670,2518,527,279,248,7715,4949,2766,2016
------,Straftaten insgesamt,16051000,Erfurt,voll.,3978,2471,1507,55,24,31,257,146,111,312,170,142,310,187,123,353,250,103,2812,1768,1044,191,96,95,3003,1864,1139,2016
------,Straftaten insgesamt,9562000,Erlangen,voll.,1049,707,342,10,3,7,50,31,19,60,34,26,97,66,31,137,99,38,717,487,230,38,21,17,755,508,247,2016
------,Straftaten insgesamt,5113000,Essen,voll.,7121,3917,3204,55,33,22,403,224,179,458,257,201,580,297,283,601,318,283,5087,2830,2257,395,215,180,5482,3045,2437,2016
------,Straftaten insgesamt,6412000,Frankfurt am Main,voll.,10930,6936,3994,59,38,21,379,199,180,438,237,201,508,271,237,818,530,288,8553,5549,3004,613,349,264,9166,5898,3268,2016
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,voll.,4250,2823,1427,41,25,16,196,105,91,237,130,107,330,209,121,476,317,159,3022,2054,968,185,113,72,3207,2167,1040,2016
------,Straftaten insgesamt,9563000,Fuerth,voll.,875,471,404,8,1,7,64,34,30,72,35,37,91,40,51,55,33,22,616,345,271,41,18,23,657,363,294,2016
------,Straftaten insgesamt,5513000,Gelsenkirchen,voll.,4486,2459,2027,35,25,10,252,159,93,287,184,103,393,224,169,345,176,169,3215,1744,1471,246,131,115,3461,1875,1586,2016
------,Straftaten insgesamt,3152012,Goettingen,voll.,2245,1430,815,18,10,8,91,58,33,109,68,41,178,126,52,242,171,71,1601,993,608,115,72,43,1716,1065,651,2016
------,Straftaten insgesamt,5914000,Hagen,voll.,2711,1541,1170,9,7,2,146,72,74,155,79,76,204,123,81,245,143,102,1980,1125,855,127,71,56,2107,1196,911,2016
------,Straftaten insgesamt,15002000,Halle (Saale),voll.,4126,2530,1596,44,20,24,305,144,161,349,164,185,336,213,123,310,194,116,2913,1841,1072,218,118,100,3131,1959,1172,2016
------,Straftaten insgesamt,2000000,Hamburg,voll.,33378,20844,12534,250,137,113,1857,1204,653,2107,1341,766,2515,1526,989,2758,1772,986,24241,15162,9079,1757,1043,714,25998,16205,9793,2016
------,Straftaten insgesamt,5915000,Hamm,voll.,2366,1366,1000,9,5,4,113,63,50,122,68,54,189,89,100,195,127,68,1737,1012,725,123,70,53,1860,1082,778,2016
------,Straftaten insgesamt,3241001,Hannover,voll.,11768,7542,4226,95,47,48,511,261,250,606,308,298,746,395,351,1105,709,396,8828,5845,2983,483,285,198,9311,6130,3181,2016
------,Straftaten insgesamt,8221000,Heidelberg,voll.,2067,1392,675,15,10,5,75,43,32,90,53,37,128,80,48,223,168,55,1503,1017,486,123,74,49,1626,1091,535,2016
------,Straftaten insgesamt,8121000,Heilbronn,voll.,1385,824,561,10,7,3,44,19,25,54,26,28,126,74,52,154,97,57,993,596,397,58,31,27,1051,627,424,2016
------,Straftaten insgesamt,5916000,Herne,voll.,2428,1292,1136,17,10,7,134,78,56,151,88,63,218,106,112,195,108,87,1727,923,804,137,67,70,1864,990,874,2016
------,Straftaten insgesamt,3254021,Hildesheim,voll.,2042,1163,879,17,10,7,98,46,52,115,56,59,167,82,85,182,91,91,1489,889,600,89,45,44,1578,934,644,2016
------,Straftaten insgesamt,9161000,Ingolstadt,voll.,2060,1397,663,14,6,8,86,49,37,100,55,45,205,127,78,229,171,58,1427,989,438,99,55,44,1526,1044,482,2016
------,Straftaten insgesamt,16053000,Jena,voll.,1330,868,462,21,11,10,74,45,29,95,56,39,84,46,38,96,65,31,980,658,322,75,43,32,1055,701,354,2016
------,Straftaten insgesamt,8212000,Karlsruhe,voll.,3573,2307,1266,27,11,16,134,71,63,161,82,79,239,142,97,330,217,113,2633,1738,895,210,128,82,2843,1866,977,2016
------,Straftaten insgesamt,6611000,Kassel,voll.,2720,1577,1143,18,8,10,125,74,51,143,82,61,157,77,80,263,146,117,2036,1213,823,121,59,62,2157,1272,885,2016
------,Straftaten insgesamt,1002000,Kiel,voll.,4294,2732,1562,27,15,12,177,100,77,204,115,89,318,194,124,412,267,145,3169,2027,1142,191,129,62,3360,2156,1204,2016
------,Straftaten insgesamt,7111000,Koblenz,voll.,2058,1320,738,12,7,5,68,33,35,80,40,40,151,99,52,202,127,75,1525,993,532,100,61,39,1625,1054,571,2016
------,Straftaten insgesamt,5315000,Koeln,voll.,23798,14323,9475,147,80,67,959,570,389,1106,650,456,1427,773,654,1973,1120,853,18201,11146,7055,1091,634,457,19292,11780,7512,2016
------,Straftaten insgesamt,5114000,Krefeld,voll.,3501,1893,1608,27,15,12,188,98,90,215,113,102,248,128,120,297,171,126,2523,1365,1158,218,116,102,2741,1481,1260,2016
------,Straftaten insgesamt,14713000,Leipzig,voll.,8744,5504,3240,100,58,42,431,215,216,531,273,258,590,303,287,573,357,216,6588,4310,2278,462,261,201,7050,4571,2479,2016
------,Straftaten insgesamt,5316000,Leverkusen,voll.,2691,1517,1174,13,6,7,136,77,59,149,83,66,212,115,97,216,112,104,1966,1123,843,148,84,64,2114,1207,907,2016
------,Straftaten insgesamt,1003000,Luebeck,voll.,4624,2919,1705,25,14,11,238,139,99,263,153,110,361,196,165,361,234,127,3404,2201,1203,235,135,100,3639,2336,1303,2016
------,Straftaten insgesamt,7314000,Ludwigshafen am Rhein,voll.,3523,2005,1518,43,20,23,274,153,121,317,173,144,293,162,131,309,187,122,2415,1379,1036,189,104,85,2604,1483,1121,2016
------,Straftaten insgesamt,15003000,Magdeburg,voll.,3613,2094,1519,47,24,23,192,97,95,239,121,118,249,140,109,269,143,126,2656,1569,1087,200,121,79,2856,1690,1166,2016
------,Straftaten insgesamt,7315000,Mainz,voll.,3629,2321,1308,28,21,7,137,80,57,165,101,64,272,174,98,353,256,97,2690,1695,995,149,95,54,2839,1790,1049,2016
------,Straftaten insgesamt,8222000,Mannheim,voll.,4545,2801,1744,50,33,17,189,114,75,239,147,92,246,153,93,377,234,143,3423,2130,1293,260,137,123,3683,2267,1416,2016
------,Straftaten insgesamt,5170024,Moers,voll.,1465,847,618,3,1,2,124,72,52,127,73,54,160,93,67,138,88,50,949,545,404,91,48,43,1040,593,447,2016
------,Straftaten insgesamt,5116000,Moenchengladbach,voll.,3515,1925,1590,24,14,10,162,91,71,186,105,81,312,170,142,353,189,164,2476,1360,1116,188,101,87,2664,1461,1203,2016
------,Straftaten insgesamt,5117000,Muelheim an der Ruhr,voll.,1723,892,831,13,5,8,114,73,41,127,78,49,134,69,65,118,65,53,1224,614,610,120,66,54,1344,680,664,2016
------,Straftaten insgesamt,9162000,Muenchen,voll.,16379,10749,5630,184,89,95,572,318,254,756,407,349,936,588,348,1380,948,432,12441,8296,4145,866,510,356,13307,8806,4501,2016
------,Straftaten insgesamt,5515000,Muenster,voll.,4214,2481,1733,28,13,15,203,123,80,231,136,95,292,168,124,375,221,154,3119,1851,1268,197,105,92,3316,1956,1360,2016
------,Straftaten insgesamt,5162024,Neuss,voll.,2053,1162,891,10,5,5,88,52,36,98,57,41,156,89,67,204,132,72,1481,825,656,114,59,55,1595,884,711,2016
------,Straftaten insgesamt,9564000,Nuernberg,voll.,7679,4879,2800,67,40,27,282,171,111,349,211,138,549,339,210,804,521,283,5636,3622,2014,341,186,155,5977,3808,2169,2016
------,Straftaten insgesamt,5119000,Oberhausen,voll.,2631,1454,1177,27,14,13,168,95,73,195,109,86,231,128,103,228,149,79,1824,986,838,153,82,71,1977,1068,909,2016
------,Straftaten insgesamt,6413000,Offenbach am Main,voll.,1298,664,634,17,7,10,62,37,25,79,44,35,90,50,40,98,39,59,973,499,474,58,32,26,1031,531,500,2016
------,Straftaten insgesamt,3403000,Oldenburg (Oldenburg),voll.,2051,1220,831,17,12,5,101,51,50,118,63,55,185,109,76,231,134,97,1410,851,559,107,63,44,1517,914,603,2016
------,Straftaten insgesamt,3404000,Osnabrueck,voll.,2921,1803,1118,33,17,16,96,40,56,129,57,72,196,108,88,288,181,107,2169,1372,797,139,85,54,2308,1457,851,2016
------,Straftaten insgesamt,5774032,Paderborn,voll.,1932,1122,810,5,5,0,77,38,39,82,43,39,113,69,44,208,115,93,1440,843,597,89,52,37,1529,895,634,2016
------,Straftaten insgesamt,8231000,Pforzheim,voll.,1712,1051,661,16,13,3,110,70,40,126,83,43,137,88,49,137,78,59,1198,748,450,114,54,60,1312,802,510,2016
------,Straftaten insgesamt,12054000,Potsdam,voll.,1864,1127,737,20,11,9,121,80,41,141,91,50,155,107,48,125,78,47,1318,779,539,125,72,53,1443,851,592,2016
------,Straftaten insgesamt,5562032,Recklinghausen,voll.,2301,1293,1008,20,12,8,94,56,38,114,68,46,246,149,97,192,112,80,1623,889,734,126,75,51,1749,964,785,2016
------,Straftaten insgesamt,9362000,Regensburg,voll.,2192,1473,719,14,4,10,75,40,35,89,44,45,155,102,53,266,193,73,1597,1084,513,85,50,35,1682,1134,548,2016
------,Straftaten insgesamt,5120000,Remscheid,voll.,1558,818,740,16,10,6,88,43,45,104,53,51,154,62,92,149,77,72,1071,580,491,80,46,34,1151,626,525,2016
------,Straftaten insgesamt,8415061,Reutlingen,voll.,1351,819,532,7,4,3,54,31,23,61,35,26,134,75,59,140,101,39,956,574,382,60,34,26,1016,608,408,2016
------,Straftaten insgesamt,13003000,Rostock,voll.,2579,1601,978,45,23,22,188,102,86,233,125,108,217,128,89,160,92,68,1825,1180,645,144,76,68,1969,1256,713,2016
------,Straftaten insgesamt,10041100,Saarbruecken,voll.,4268,2506,1762,29,16,13,197,114,83,226,130,96,285,150,135,430,261,169,3108,1842,1266,219,123,96,3327,1965,1362,2016
------,Straftaten insgesamt,3102000,Salzgitter,voll.,1344,732,612,25,11,14,93,55,38,118,66,52,126,68,58,118,67,51,905,491,414,77,40,37,982,531,451,2016
------,Straftaten insgesamt,13004000,Schwerin,voll.,1408,871,537,14,6,8,144,89,55,158,95,63,133,87,46,93,60,33,942,587,355,82,42,40,1024,629,395,2016
------,Straftaten insgesamt,5970040,Siegen,voll.,1803,1082,721,15,14,1,91,60,31,106,74,32,143,89,54,190,113,77,1266,752,514,98,54,44,1364,806,558,2016
------,Straftaten insgesamt,5122000,Solingen,voll.,1817,1019,798,13,5,8,101,60,41,114,65,49,151,85,66,175,108,67,1284,708,576,93,53,40,1377,761,616,2016
------,Straftaten insgesamt,8111000,Stuttgart,voll.,11033,7233,3800,96,56,40,481,263,218,577,319,258,685,384,301,998,677,321,8298,5586,2712,475,267,208,8773,5853,2920,2016
------,Straftaten insgesamt,7211000,Trier,voll.,2002,1305,697,15,11,4,84,43,41,99,54,45,216,141,75,230,155,75,1360,890,470,97,65,32,1457,955,502,2016
------,Straftaten insgesamt,8421000,Ulm,voll.,1669,1071,598,7,4,3,79,35,44,86,39,47,142,78,64,174,112,62,1194,797,397,73,45,28,1267,842,425,2016
------,Straftaten insgesamt,6414000,Wiesbaden,voll.,3899,2207,1692,40,19,21,159,83,76,199,102,97,346,204,142,384,218,166,2752,1570,1182,218,113,105,2970,1683,1287,2016
------,Straftaten insgesamt,3103000,Wolfsburg,voll.,1399,841,558,24,16,8,69,41,28,93,57,36,106,74,32,143,95,48,993,582,411,64,33,31,1057,615,442,2016
------,Straftaten insgesamt,5124000,Wuppertal,voll.,6447,3700,2747,32,18,14,336,198,138,368,216,152,535,295,240,565,304,261,4663,2710,1953,316,175,141,4979,2885,2094,2016
------,Straftaten insgesamt,9663000,Wuerzburg,voll.,1771,1182,589,17,12,5,43,25,18,60,37,23,168,104,64,227,138,89,1232,852,380,84,51,33,1316,903,413,2016
------,Straftaten insgesamt,5334002,Aachen,vers.,291,203,88,2,2,0,4,1,3,6,3,3,21,14,7,25,16,9,222,157,65,17,13,4,239,170,69,2016
------,Straftaten insgesamt,9761000,Augsburg,vers.,629,435,194,6,3,3,18,11,7,24,14,10,22,13,9,49,32,17,501,360,141,33,16,17,534,376,158,2016
------,Straftaten insgesamt,5378004,Bergisch Gladbach,vers.,87,50,37,0,0,0,5,3,2,5,3,2,8,8,0,3,3,0,60,34,26,11,2,9,71,36,35,2016
------,Straftaten insgesamt,11000000,Berlin,vers.,7010,4805,2205,74,33,41,302,187,115,376,220,156,415,272,143,339,211,128,5411,3815,1596,469,287,182,5880,4102,1778,2016
------,Straftaten insgesamt,5711000,Bielefeld,vers.,343,205,138,6,3,3,12,6,6,18,9,9,16,9,7,18,13,5,261,155,106,30,19,11,291,174,117,2016
------,Straftaten insgesamt,5911000,Bochum,vers.,496,329,167,2,0,2,13,7,6,15,7,8,33,19,14,34,18,16,392,276,116,22,9,13,414,285,129,2016
------,Straftaten insgesamt,5314000,Bonn,vers.,353,226,127,1,0,1,8,6,2,9,6,3,24,12,12,30,18,12,263,174,89,27,16,11,290,190,100,2016
------,Straftaten insgesamt,5512000,Bottrop,vers.,93,57,36,3,2,1,7,4,3,10,6,4,7,5,2,9,7,2,61,34,27,6,5,1,67,39,28,2016
------,Straftaten insgesamt,3101000,Braunschweig,vers.,352,248,104,3,2,1,5,4,1,8,6,2,13,7,6,19,8,11,295,216,79,17,11,6,312,227,85,2016
------,Straftaten insgesamt,4011000,Bremen,vers.,761,495,266,9,7,2,35,20,15,44,27,17,77,47,30,61,37,24,510,352,158,69,32,37,579,384,195,2016
------,Straftaten insgesamt,4012000,Bremerhaven,vers.,154,100,54,1,0,1,8,5,3,9,5,4,14,8,6,13,7,6,106,76,30,12,4,8,118,80,38,2016
------,Straftaten insgesamt,14511000,Chemnitz,vers.,220,138,82,3,2,1,12,5,7,15,7,8,17,9,8,6,4,2,158,106,52,24,12,12,182,118,64,2016
------,Straftaten insgesamt,6411000,Darmstadt,vers.,85,51,34,0,0,0,1,0,1,1,0,1,6,3,3,10,5,5,56,36,20,12,7,5,68,43,25,2016
------,Straftaten insgesamt,5913000,Dortmund,vers.,758,530,228,4,1,3,26,20,6,30,21,9,54,40,14,42,27,15,580,410,170,52,32,20,632,442,190,2016
------,Straftaten insgesamt,14612000,Dresden,vers.,471,352,119,3,3,0,9,5,4,12,8,4,28,18,10,31,23,8,384,294,90,16,9,7,400,303,97,2016
------,Straftaten insgesamt,5112000,Duisburg,vers.,676,437,239,4,1,3,42,25,17,46,26,20,45,29,16,43,26,17,492,331,161,50,25,25,542,356,186,2016
------,Straftaten insgesamt,5111000,Duesseldorf,vers.,641,398,243,2,2,0,21,10,11,23,12,11,27,14,13,48,26,22,495,322,173,48,24,24,543,346,197,2016
------,Straftaten insgesamt,16051000,Erfurt,vers.,350,254,96,1,0,1,17,7,10,18,7,11,35,23,12,30,25,5,238,182,56,29,17,12,267,199,68,2016
------,Straftaten insgesamt,9562000,Erlangen,vers.,117,86,31,1,0,1,2,1,1,3,1,2,5,3,2,9,5,4,92,72,20,8,5,3,100,77,23,2016
------,Straftaten insgesamt,5113000,Essen,vers.,437,285,152,4,3,1,29,18,11,33,21,12,27,14,13,37,22,15,310,214,96,30,14,16,340,228,112,2016
------,Straftaten insgesamt,6412000,Frankfurt am Main,vers.,951,641,310,7,5,2,22,13,9,29,18,11,46,29,17,67,40,27,743,516,227,66,38,28,809,554,255,2016
------,Straftaten insgesamt,8311000,Freiburg im Breisgau,vers.,434,318,116,2,2,0,19,10,9,21,12,9,25,18,7,47,36,11,312,234,78,29,18,11,341,252,89,2016
------,Straftaten insgesamt,9563000,Fuerth,vers.,122,89,33,1,0,1,5,1,4,6,1,5,8,3,5,5,4,1,90,69,21,13,12,1,103,81,22,2016
------,Straftaten insgesamt,5513000,Gelsenkirchen,vers.,315,198,117,3,1,2,17,10,7,20,11,9,28,15,13,33,22,11,208,137,71,26,13,13,234,150,84,2016
------,Straftaten insgesamt,3152012,Goettingen,vers.,235,152,83,2,1,1,8,5,3,10,6,4,10,10,0,25,18,7,178,111,67,12,7,5,190,118,72,2016
------,Straftaten insgesamt,5914000,Hagen,vers.,136,79,57,0,0,0,7,6,1,7,6,1,11,2,9,8,4,4,97,60,37,13,7,6,110,67,43,2016
------,Straftaten insgesamt,15002000,Halle (Saale),vers.,394,278,116,4,1,3,18,6,12,22,7,15,15,11,4,17,10,7,315,232,83,25,18,7,340,250,90,2016
------,Straftaten insgesamt,2000000,Hamburg,vers.,2246,1512,734,12,7,5,62,38,24,74,45,29,179,102,77,177,120,57,1689,1169,520,127,76,51,1816,1245,571,2016
------,Straftaten insgesamt,5915000,Hamm,vers.,144,92,52,2,2,0,9,6,3,11,8,3,14,9,5,13,7,6,98,61,37,8,7,1,106,68,38,2016
------,Straftaten insgesamt,3241001,Hannover,vers.,1223,889,334,7,1,6,26,11,15,33,12,21,49,28,21,85,56,29,1007,761,246,49,32,17,1056,793,263,2016
------,Straftaten insgesamt,8221000,Heidelberg,vers.,180,135,45,1,1,0,6,2,4,7,3,4,2,0,2,10,9,1,154,120,34,7,3,4,161,123,38,2016
------,Straftaten insgesamt,8121000,Heilbronn,vers.,83,60,23,0,0,0,5,2,3,5,2,3,3,1,2,6,4,2,64,48,16,5,5,0,69,53,16,2016
------,Straftaten insgesamt,5916000,Herne,vers.,198,119,79,1,1,0,8,7,1,9,8,1,16,10,6,17,8,9,138,84,54,18,9,9,156,93,63,2016
------,Straftaten insgesamt,3254021,Hildesheim,vers.,161,100,61,2,0,2,10,4,6,12,4,8,9,7,2,29,18,11,104,65,39,7,6,1,111,71,40,2016
------,Straftaten insgesamt,9161000,Ingolstadt,vers.,228,155,73,0,0,0,11,6,5,11,6,5,11,7,4,24,14,10,173,125,48,9,3,6,182,128,54,2016
------,Straftaten insgesamt,16053000,Jena,vers.,117,80,37,2,2,0,1,0,1,3,2,1,11,8,3,8,6,2,92,62,30,3,2,1,95,64,31,2016
------,Straftaten insgesamt,8212000,Karlsruhe,vers.,255,189,66,1,1,0,7,4,3,8,5,3,13,11,2,18,14,4,200,150,50,16,9,7,216,159,57,2016
------,Straftaten insgesamt,6611000,Kassel,vers.,196,129,67,1,1,0,10,3,7,11,4,7,15,11,4,15,10,5,141,99,42,14,5,9,155,104,51,2016
------,Straftaten insgesamt,1002000,Kiel,vers.,259,180,79,3,1,2,6,4,2,9,5,4,13,8,5,19,12,7,203,147,56,15,8,7,218,155,63,2016
------,Straftaten insgesamt,7111000,Koblenz,vers.,188,136,52,0,0,0,10,7,3,10,7,3,16,15,1,21,13,8,132,93,39,9,8,1,141,101,40,2016
------,Straftaten insgesamt,5315000,Koeln,vers.,1807,1180,627,8,5,3,76,54,22,84,59,25,113,70,43,143,76,67,1353,914,439,114,61,53,1467,975,492,2016
------,Straftaten insgesamt,5114000,Krefeld,vers.,196,121,75,3,2,1,6,4,2,9,6,3,13,7,6,17,11,6,132,82,50,25,15,10,157,97,60,2016
------,Straftaten insgesamt,14713000,Leipzig,vers.,629,447,182,7,2,5,28,16,12,35,18,17,27,16,11,47,31,16,490,370,120,30,12,18,520,382,138,2016
------,Straftaten insgesamt,5316000,Leverkusen,vers.,222,137,85,1,1,0,12,6,6,13,7,6,25,14,11,18,11,7,154,97,57,12,8,4,166,105,61,2016
------,Straftaten insgesamt,1003000,Luebeck,vers.,478,334,144,2,0,2,13,6,7,15,6,9,28,19,9,27,19,8,380,273,107,28,17,11,408,290,118,2016
